listing_id,listing_name,listing_type,room_type,host_id,host_name,superhost,latitude,longitude,guests,bedrooms,beds,baths,amenities,instant_book,min_nights,cancellation_policy,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_cleanliness,rating_location,rating_value,ttm_revenue,ttm_avg_rate,ttm_occupancy,ttm_revpar,l90d_revenue,l90d_avg_rate,l90d_occupancy,l90d_revpar,location_from_name,city_category
15235876,"City Center. Nice, clean and  quiet  Apartment",entire rental unit,entire_home,96858399,Diana,FALSE,40.1804,44.5056,5,2,4,1,NA,FALSE,7,moderate,30,0,16,5,5,5,5,1147,58,0.1,3.1,0,64.2,0,0,NA,Yerevan_area
15696032,"Rent in Yerevan, rent in Yerevan city center",entire rental unit,entire_home,101330268,Paruyr,FALSE,40.1805,44.522,3,1,1,1,NA,FALSE,2,firm,0,0,6,5,4.8,5,5,1643,94.2,0,4.5,614,87.1,0.1,6.8,yerevan,Yerevan_area
15856065,Cosy flat in the centre of Yerevan,entire rental unit,entire_home,102750771,Sona,FALSE,40.182,44.52,2,1,1,1,NA,FALSE,3,moderate,0,0,49,4.88,4.8,4.9,4.7,1859,41.8,0.1,5.1,0,38.7,0,0,yerevan,Yerevan_area
15878898,Studio Apartment in Alley Residence,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1816,44.5111,2,1,2,1,NA,TRUE,2,moderate,0,0,28,4.89,4.9,5,4.8,11882,70.4,0.4,32.6,3643,66.4,0.6,40.5,NA,Yerevan_area
15879395,Studio Apartment in Alley Residence,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1815,44.5111,2,1,2,1,NA,TRUE,2,moderate,0,0,46,4.87,4.9,5,4.8,14835,71.8,0.5,40.6,2122,74.5,0.3,23.6,NA,Yerevan_area
15937376,Good location and comfortable flat in Yerevan,entire rental unit,entire_home,103438567,Shushan,FALSE,40.1913,44.5033,4,2,3,1,NA,NA,3,flexible,20,NA,31,4.97,5,4.9,4.8,3278,61.7,0.2,9,0,65.1,0,0,yerevan,Yerevan_area
16073280,Comfortable apartment near farmers market,entire rental unit,entire_home,3705068,Sam,FALSE,40.2052,44.5209,2,1,2,1,NA,TRUE,7,moderate,40,0,8,4.38,3.8,4.3,4.4,1924,15.7,0.3,5.3,620,12.9,0.5,6.9,NA,Other_Armenia
16181935,My Apartments Yerevan (Duplex),entire serviced apartment,entire_home,105656520,My Apartments,FALSE,40.1844,44.5217,4,2,5,1,NA,TRUE,1,flexible,0,0,189,4.75,4.8,4.9,4.8,1566,90.5,0,4.3,0,82.1,0,0,yerevan,Yerevan_area
16183274,My Apartments Yerevan (Studio),entire serviced apartment,entire_home,105656520,My Apartments,FALSE,40.1848,44.5203,3,NA,2,1,NA,TRUE,1,flexible,0,0,32,4.84,5,5,4.8,1877,78.6,0.1,5.1,943,77.9,0.1,10.5,yerevan,Yerevan_area
16279137,"Central, modern flat with Ararat view from balcony",entire rental unit,entire_home,16610743,Lene,FALSE,40.1838,44.5166,2,1,5,1,NA,FALSE,2,moderate,10,0,72,4.9,4.8,5,4.9,4154,81.2,0.1,11.4,0,83.4,0,0,NA,Yerevan_area
16422668,Your  ideal apartment in the center of Yerevan,entire rental unit,entire_home,107652567,Rita,FALSE,40.1813,44.5276,3,2,3,1,NA,FALSE,2,flexible,30,0,7,5,5,5,5,7936,82.2,0.3,21.7,1301,82.7,0.2,14.5,yerevan,Yerevan_area
16568880,Apartment in center North Avenue,entire rental unit,entire_home,109148552,Mихаил,TRUE,40.1836,44.5134,3,1,1,1,NA,TRUE,1,moderate,10,0,307,4.9,4.9,5,4.9,12148,46.2,0.7,33.3,3490,48.1,0.8,38.8,NA,Yerevan_area
16610492,Nice & Cozy apartment near Dalma Garden Mall,entire rental unit,entire_home,51153256,Louisa,FALSE,40.1795,44.4881,4,1,2,1,NA,FALSE,3,flexible,9,15,3,5,5,5,5,619,50.3,0,1.7,619,50.4,0.1,6.9,NA,Yerevan_area
16974466,2-BDR/Perfect Location/Cozy,entire rental unit,entire_home,511676899,My,TRUE,40.184,44.5188,6,2,3,1,NA,TRUE,4,moderate,30,0,35,4.86,4.7,4.9,4.7,5727,78.9,0.2,15.7,2170,83.5,0.3,24.1,NA,Yerevan_area
17009024,Apartments in the CITY CENTER near the OPERA,entire rental unit,entire_home,109148552,Mихаил,TRUE,40.1849,44.5114,3,1,1,1.5,NA,TRUE,1,moderate,10,0,323,4.85,4.9,5,4.9,6870,44.7,0.4,18.8,1908,46.6,0.5,21.2,NA,Yerevan_area
17018473,Apartment Near Main Postal Office by RIS,entire rental unit,entire_home,501943261,Milena,TRUE,40.1864,44.5048,5,2,4,1.5,NA,TRUE,1,moderate,0,0,54,4.91,4.8,4.8,4.9,2299,63.9,0.1,6.3,632,61.7,0.1,7,NA,Yerevan_area
17128685,Spacious pentouse on Amiryan,entire rental unit,entire_home,12525702,NA,FALSE,40.1799,44.5068,6,3,3,3,NA,NA,2,NA,NA,NA,31,4.58,4.4,4.9,4.7,3587,49.9,0.2,9.8,0,52.5,0,0,NA,Yerevan_area
17298551,Cozy 2-bedroom apt. w/balcony by Lovers' Park.,entire rental unit,entire_home,116701807,Rufina,TRUE,40.1929,44.506100000000004,4,2,3,1.5,NA,FALSE,7,firm,70,0,36,4.72,4.6,4.9,4.7,1798,38.4,0.1,4.9,0,41.5,0,0,NA,Yerevan_area
17344667,"Full of classic Yerevan charm, on Abovian street",entire rental unit,entire_home,14838926,Anoush,TRUE,40.1889,44.5242,4,2,2,1,NA,FALSE,6,strict,0,0,57,4.86,4.8,4.8,4.8,5225,53.8,0.3,14.3,642,53.7,0.1,7.1,yerevan,Yerevan_area
17518642,Republic square apartment,entire rental unit,entire_home,118779157,Taron,FALSE,40.1784,44.5114,4,1,3,1.5,NA,TRUE,3,flexible,0,0,1,NA,NA,NA,NA,1705,51.8,0.1,4.7,653,54.3,0.1,7.3,NA,Yerevan_area
17534634,Luxury penthouse/loft apartment in the city center,entire chalet,entire_home,118932034,Vadim,FALSE,40.1849,44.5072,3,1,2,2,NA,TRUE,4,moderate,40,0,72,4.97,5,5,4.9,662,65.9,0,1.8,662,65.9,0.1,7.4,NA,Yerevan_area
17620460,Hovhannes Kochar's apt.,entire loft,entire_home,32348869,Anna,FALSE,40.1825,44.5196,3,1,1,1,NA,FALSE,1,moderate,8,0,124,4.85,4.8,5,4.8,12504,51.5,0.7,34.3,2766,49.6,0.6,30.7,NA,Yerevan_area
17628978,Light and bright Contemporary Studio ✧✦,entire rental unit,entire_home,21858107,Svetlana,TRUE,40.1678,44.5187,2,1,1,1,NA,FALSE,2,moderate,0,0,178,4.94,5,4.5,4.9,10161,42.3,0.7,27.8,2015,45.6,0.5,22.4,NA,Yerevan_area
